,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10 000,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10 000 to $14 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15 000 to $24 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25 000 to $34 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35 000 to $49 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50 000 to $74 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$75 000 to $99 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$100 000 to $149 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$150 000 to $199 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$200 000 or more
381,44133,OH,41.31,-81.74,1,175201,39,035,3.8,0.8,5.2,6.6,15.3,18.9,13.2,21.6,6.4,8.1
382,44139,OH,41.39,-81.44,1,184104,39,035,0.6,4.7,11.4,4.7,13.6,13.5,12.1,19.3,5.1,14.9
383,44140,OH,41.49,-81.92,2,130105,39,035,3.7,7.0,3.8,3.0,12.4,15.4,17.0,20.8,7.0,9.9
384,44223,OH,41.17,-81.53,1,532902,39,153,8.6,5.7,6.2,11.8,10.1,12.7,12.1,17.6,10.7,4.4
385,44236,OH,41.25,-81.46,1,534000,39,153,2.3,1.9,3.8,4.3,15.8,9.4,11.6,19.3,11.8,19.8
386,44312,OH,41.01,-81.44,1,531102,39,153,5.1,2.0,9.1,9.4,12.8,24.1,15.6,13.2,6.6,2.2
387,44514,OH,41.01,-80.61,1,811002,39,099,1.8,2.3,3.1,5.0,10.0,17.2,19.6,23.2,7.0,10.9
388,44691,OH,40.8,-82.0,1,002000,39,169,1.2,2.7,11.2,5.5,14.9,27.5,17.9,14.6,2.4,2.0
389,44705,OH,40.83,-81.34,1,700200,39,151,15.0,11.0,14.6,7.1,26.8,12.6,7.2,5.0,0.0,0.6
390,44805,OH,40.9,-82.3,1,970400,39,005,7.5,8.6,19.2,21.1,11.2,15.1,10.9,4.1,1.0,1.3
391,45015,OH,39.36,-84.54,1,010906,39,017,3.5,5.4,9.4,14.6,12.3,27.7,12.3,5.5,6.2,3.0
392,45040,OH,39.35,-84.3,3,031902,39,165,3.2,0.9,5.7,8.4,12.5,13.9,16.8,18.0,8.4,12.2
393,45069,OH,39.34,-84.42,1,011128,39,017,2.8,0.7,4.7,5.0,10.9,9.5,10.8,18.8,17.9,19.0
394,45140,OH,39.26,-84.24,1,040302,39,025,2.3,5.4,6.6,2.7,2.6,13.0,12.2,17.6,14.6,22.9
395,45209,OH,39.15,-84.43,1,005301,39,061,7.8,7.1,10.8,5.4,12.9,14.3,12.8,13.7,11.7,3.6
396,45214,OH,39.12,-84.55,1,009200,39,061,18.7,14.7,17.8,13.1,14.5,14.5,4.0,1.3,0.0,1.4
397,45215,OH,39.24,-84.46,1,022700,39,061,24.6,7.3,20.2,16.5,22.0,7.3,0.0,0.5,0.7,0.9
398,45331,OH,40.1,-84.6,4,550100,39,037,2.2,1.3,6.2,12.8,22.3,26.2,13.3,11.9,2.2,1.6
399,45338,OH,39.84,-84.57,1,420100,39,135,3.9,3.9,7.9,9.9,18.3,22.1,15.0,15.4,2.4,1.2
400,45385,OH,39.7,-83.9,1,240600,39,057,10.2,10.0,19.9,6.4,11.9,16.6,8.7,10.7,2.8,2.7
401,45414,OH,39.83,-84.21,1,080500,39,113,19.6,7.8,11.7,16.8,15.4,15.5,5.8,5.7,1.2,0.6
402,45424,OH,39.84,-84.11,1,100400,39,113,4.0,1.6,7.5,10.5,11.9,21.1,16.9,17.1,5.2,4.1
403,45440,OH,39.67,-84.1,1,220100,39,057,1.5,1.7,1.7,4.5,9.3,13.7,11.8,26.6,12.5,16.7
404,45710,OH,39.2,-82.2,1,964300,39,105,8.0,9.8,13.7,15.1,12.8,17.9,16.3,5.3,1.1,0.1
405,46148,IN,39.82,-85.52,1,976700,18,065,6.4,6.5,9.2,13.2,14.5,20.5,15.6,10.2,2.5,1.4
406,46205,IN,39.82,-86.12,1,350500,18,097,20.3,13.5,24.6,8.2,14.9,10.0,5.7,1.6,1.2,0.0
407,46219,IN,39.78,-86.05,1,360700,18,097,4.8,1.4,12.9,6.7,17.6,11.4,16.8,21.2,4.4,2.9
408,46234,IN,39.81,-86.32,1,340114,18,097,2.2,0.2,3.2,6.3,14.4,28.2,19.2,19.7,3.6,3.0
409,46237,IN,39.68,-86.09,1,380902,18,097,7.2,0.0,6.1,6.6,17.4,15.0,18.1,18.3,5.8,5.6
410,46250,IN,39.91,-86.07,1,320304,18,097,4.3,4.2,5.1,7.8,14.2,13.2,10.4,19.9,9.9,10.9
411,46260,IN,39.9,-86.18,1,320109,18,097,12.7,3.3,4.5,9.4,14.5,11.2,16.0,15.3,5.1,8.0
412,46385,IN,41.5,-87.1,1,050603,18,127,0.7,2.9,4.0,4.5,4.7,18.5,15.9,22.0,12.8,14.0
413,46514,IN,41.72,-85.97,1,001601,18,039,1.3,11.5,9.6,8.2,32.4,16.9,7.5,10.2,1.7,0.6
414,46554,IN,41.6,-86.4,1,012000,18,141,3.8,4.8,4.3,10.5,15.6,20.2,16.7,15.6,6.3,2.2
415,46637,IN,41.73,-86.24,1,011302,18,141,2.9,1.2,9.1,11.5,13.1,22.5,13.9,14.8,4.8,6.3
416,46804,IN,41.05,-85.24,1,011603,18,003,3.0,0.0,6.2,8.3,10.8,19.6,12.5,18.4,6.4,14.9
417,47150,IN,38.3,-85.8,1,070302,18,043,7.5,7.4,11.1,4.9,21.2,16.9,21.6,6.1,2.5,0.8
418,47203,IN,39.2,-85.8,1,011300,18,005,2.8,2.2,2.6,9.8,17.1,21.6,21.2,13.6,6.3,2.8
419,47265,IN,39.0,-85.6,1,960200,18,079,8.7,1.9,9.7,6.7,18.4,25.9,10.6,14.0,1.3,2.7
420,47404,IN,39.2,-86.6,1,001305,18,105,3.1,4.6,7.1,7.7,7.8,24.8,16.7,26.9,1.3,0.0
421,47710,IN,38.02,-87.58,2,003900,18,163,6.4,3.5,9.9,7.9,18.7,26.8,11.9,11.2,3.7,0.0
422,47712,IN,37.9,-87.7,1,010403,18,163,13.3,2.5,6.1,13.3,14.6,16.3,10.9,13.0,5.1,4.8
423,47906,IN,40.5,-87.0,3,010201,18,157,1.2,2.8,4.7,7.8,13.0,23.5,17.3,19.8,7.6,2.4
424,48067,MI,42.49,-83.14,1,184200,26,125,3.8,0.8,9.8,7.2,9.1,13.8,15.1,19.7,8.7,11.9
425,48069,MI,42.47,-83.14,1,187000,26,125,2.2,0.9,4.8,2.6,9.7,14.5,11.2,20.0,12.4,21.6
426,48096,MI,42.76,-82.92,1,216000,26,099,3.7,3.2,6.3,11.1,13.9,20.1,14.2,17.1,9.2,1.2
427,48103,MI,42.3,-83.9,2,448000,26,161,0.7,2.0,4.3,5.5,10.8,21.9,16.8,20.3,10.7,6.9
428,48105,MI,42.3,-83.7,1,402600,26,161,11.1,5.2,4.1,15.7,18.3,12.9,4.7,16.0,6.7,5.3
429,48137,MI,42.5,-84.1,4,732100,26,093,4.5,2.6,11.4,8.2,15.1,21.1,18.3,13.0,4.0,1.8
430,48152,MI,42.42,-83.37,2,556800,26,163,2.8,1.6,3.4,4.5,9.9,16.6,14.7,28.2,8.4,9.7
431,48158,MI,42.2,-84.0,1,432000,26,161,1.9,2.1,6.0,7.4,14.1,17.6,15.0,20.8,7.7,7.2
432,48169,MI,42.5,-83.9,1,743400,26,093,2.7,1.4,2.4,6.1,7.4,13.9,14.6,22.3,16.0,13.1
433,48301,MI,42.54,-83.28,1,150900,26,125,3.8,0.6,2.5,10.3,9.7,5.7,14.0,19.5,9.6,24.4
434,48307,MI,42.66,-83.12,1,193400,26,125,0.9,2.6,1.2,3.3,4.5,14.2,19.1,23.8,16.0,14.5
435,48322,MI,42.54,-83.38,1,157800,26,125,3.1,0.8,6.4,8.8,9.4,19.1,11.1,14.2,8.9,18.2
436,48324,MI,42.59,-83.38,1,154500,26,125,4.8,0.0,2.0,0.6,3.5,9.2,9.0,20.1,13.3,37.4
437,48357,MI,42.65,-83.64,1,131800,26,125,3.7,6.5,6.5,14.1,11.3,15.2,12.7,19.4,5.4,5.2
438,48603,MI,43.47,-84.02,1,010302,26,145,3.2,5.7,8.9,9.5,15.5,11.6,12.5,15.6,6.4,11.0
439,48611,MI,43.64,-84.09,2,285600,26,017,3.0,5.1,9.4,10.1,14.7,19.4,13.2,18.8,5.7,0.7
440,48823,MI,42.76,-84.44,1,004600,26,065,3.3,1.2,4.9,5.9,6.3,13.8,12.2,23.3,11.1,18.0
441,48840,MI,42.77,-84.37,4,011101,26,037,2.1,2.0,7.1,3.4,9.5,21.7,23.5,16.1,7.0,7.6
442,48864,MI,42.71,-84.4,1,004901,26,065,5.9,2.0,8.6,7.6,11.8,15.1,15.6,14.4,9.4,9.7
443,48910,MI,42.7,-84.52,1,002901,26,065,8.6,2.2,11.3,11.2,16.1,17.0,14.2,14.6,2.9,
444,49024,MI,42.2,-85.62,1,002002,26,077,4.8,1.8,7.3,6.0,15.5,17.9,16.1,23.8,4.2,2.5
445,49245,MI,42.1,-84.8,1,003100,26,025,7.1,7.9,10.6,12.7,18.7,19.9,11.5,7.1,2.7,1.6
446,49406,MI,42.64,-86.2,1,030800,26,005,7.7,3.9,5.8,6.5,13.2,13.9,19.3,17.1,8.7,3.9
447,49412,MI,43.5,-85.9,1,970600,26,123,4.1,2.2,11.0,8.5,17.6,23.0,15.7,10.9,2.4,4.7
448,49418,MI,42.88,-85.78,1,013100,26,081,3.6,4.0,8.0,16.0,14.7,23.6,10.9,14.2,4.0,1.2
449,49426,MI,42.8,-85.9,1,023002,26,139,2.1,4.0,4.3,5.7,10.7,21.8,21.4,22.4,5.7,1.9
450,49506,MI,42.94,-85.62,1,003400,26,081,6.0,6.6,6.2,9.6,19.0,16.0,16.8,15.5,4.2,0.0
451,49507,MI,42.93,-85.65,1,003700,26,081,11.1,4.8,20.7,19.0,10.0,18.1,12.0,3.6,0.7,0.0
452,49668,MI,44.4,-85.7,1,380300,26,165,7.8,7.3,12.5,18.6,16.6,21.8,8.7,4.5,1.1,1.0
453,50135,IA,41.7,-92.9,1,040100,19,099,2.9,2.1,12.4,9.7,14.0,24.5,15.6,9.7,5.2,3.8
454,50219,IA,41.4,-92.9,1,030200,19,125,4.1,2.1,8.2,7.1,12.1,23.1,15.1,22.1,3.4,2.6
455,50263,IA,41.6,-93.9,5,050902,19,049,3.0,0.9,3.1,7.5,10.8,13.2,16.1,27.0,8.1,10.3
456,50266,IA,41.56,-93.81,1,050811,19,049,2.3,0.9,5.3,7.8,9.6,19.9,16.0,17.2,10.7,10.4
457,50627,IA,42.3,-93.1,1,480500,19,083,6.6,5.1,8.3,8.5,13.4,25.1,14.7,14.8,2.7,0.7
458,50651,IA,42.3,-92.2,2,002902,19,013,5.1,3.8,6.8,12.5,14.2,19.8,13.8,18.9,3.4,1.7
459,50701,IA,42.4,-92.4,2,003002,19,013,3.7,0.4,4.5,6.1,9.7,19.1,19.4,24.6,7.9,4.5
460,51334,IA,43.4,-94.8,4,070300,19,063,12.9,3.2,14.7,8.4,20.0,20.6,11.6,6.9,0.0,1.8
461,52314,IA,41.9,-91.5,1,010700,19,113,1.1,0.9,3.6,6.3,8.1,19.0,20.4,25.6,9.4,5.7
462,52753,IA,41.63,-90.4,1,010101,19,163,3.2,1.8,8.7,7.7,10.1,19.7,16.1,20.3,7.7,4.7
463,52803,IA,41.54,-90.56,1,011600,19,163,3.7,2.3,9.3,8.1,14.9,32.7,16.5,9.4,3.1,0.0
464,53005,WI,43.06,-88.1,1,201000,55,133,3.0,2.8,5.2,5.0,7.5,7.1,12.8,18.5,9.8,28.2
465,53072,WI,43.1,-88.3,2,203303,55,133,2.4,3.2,10.3,9.8,12.7,18.8,13.0,13.7,10.0,6.1
466,53097,WI,43.24,-87.98,1,660100,55,089,3.0,2.7,12.0,14.1,10.3,12.8,20.3,16.6,6.0,2.3
467,53149,WI,42.9,-88.3,4,202001,55,133,2.6,1.0,4.2,4.8,7.0,15.9,19.8,30.7,6.1,8.0
468,53150,WI,42.88,-88.13,1,201900,55,133,1.8,1.6,7.1,2.4,11.3,17.5,6.1,25.2,17.5,9.5
469,53154,WI,42.89,-87.89,4,160203,55,079,3.2,1.4,7.1,10.3,10.5,22.9,13.4,20.2,8.7,2.4
470,53202,WI,43.04,-87.89,1,980000,55,079,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
471,53207,WI,42.97,-87.9,1,020900,55,079,3.1,5.2,5.5,11.6,14.1,28.4,12.8,15.5,3.0,0.9
472,53211,WI,43.07,-87.89,2,007800,55,079,13.7,9.4,14.9,12.1,10.2,12.6,11.9,11.0,1.1,3.1
473,53581,WI,43.4,-90.4,1,970200,55,103,3.7,5.0,10.6,11.3,13.4,25.5,15.2,11.7,2.1,1.4
474,53593,WI,43.0,-89.6,1,010904,55,025,0.5,1.2,1.5,3.9,4.3,13.3,14.5,23.2,11.3,26.2
475,53719,WI,43.03,-89.5,1,000504,55,025,3.7,1.1,2.6,1.6,7.6,21.8,16.7,30.0,10.3,4.6
476,53901,WI,43.5,-89.5,1,970600,55,021,1.5,2.1,6.9,8.3,16.1,21.8,19.0,16.3,4.7,3.4
477,53916,WI,43.5,-88.9,2,960600,55,027,4.5,3.1,10.3,10.2,12.4,20.7,16.2,14.7,3.1,4.5
478,54313,WI,44.6,-88.1,1,020204,55,009,1.6,0.0,5.0,6.5,3.3,13.0,19.1,31.7,12.6,7.0
479,54401,WI,45.0,-89.7,1,001500,55,073,3.5,1.6,5.0,11.4,14.2,21.5,14.9,19.1,5.7,3.1
480,54452,WI,45.2,-89.7,1,960700,55,069,3.3,4.6,7.8,8.9,11.9,23.0,14.8,20.0,4.6,1.2
481,54455,WI,44.8,-89.7,1,001202,55,073,2.9,5.7,10.5,7.3,12.2,21.7,17.4,15.1,4.6,2.5
482,54467,WI,44.4,-89.5,1,961300,55,097,4.6,4.2,8.9,10.6,16.7,22.3,13.8,12.6,3.9,2.5
483,54665,WI,43.5,-90.9,1,960500,55,123,6.9,6.7,13.7,11.0,16.1,20.5,11.7,9.7,1.6,2.1
484,54666,WI,44.2,-90.4,1,960100,55,053,3.0,8.1,11.6,13.5,17.9,22.6,11.6,8.0,1.8,2.0
485,54729,WI,44.9,-91.4,1,010200,55,017,3.5,3.8,13.5,2.9,15.5,22.1,18.4,15.0,1.2,4.2
486,54901,WI,44.07,-88.52,4,001600,55,139,3.8,5.3,17.7,11.4,11.7,18.1,9.7,11.7,6.3,4.1
487,55014,MN,45.19,-93.13,4,050229,27,003,3.2,1.3,4.9,3.6,7.0,14.1,20.7,23.9,14.7,6.5
488,55057,MN,44.5,-93.2,1,061502,27,037,1.5,0.5,2.2,6.3,11.7,20.4,18.3,19.1,10.1,9.8
489,55082,MN,45.1,-92.8,1,070404,27,163,2.3,0.0,2.5,3.9,6.8,13.8,14.3,24.7,12.2,19.4
490,55106,MN,44.94,-93.05,1,980000,27,123,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
491,55108,MN,44.98,-93.18,4,042001,27,123,8.8,4.5,15.4,10.1,19.5,14.6,7.0,9.0,5.6,5.3
492,55113,MN,45.01,-93.16,2,041800,27,123,3.5,4.5,7.8,9.3,9.2,21.2,14.9,14.4,11.1,4.1
493,55116,MN,44.91,-93.17,1,037500,27,123,4.0,3.1,7.1,6.1,7.0,10.8,13.5,21.9,12.4,14.1
494,55123,MN,44.8,-93.14,1,060732,27,037,0.9,0.0,2.2,1.2,2.1,13.6,13.4,21.4,22.2,23.0
495,55125,MN,44.92,-92.94,4,071013,27,163,1.8,1.1,6.8,4.5,7.8,16.3,19.1,26.2,10.1,6.2
496,55126,MN,45.08,-93.14,1,040707,27,123,2.0,1.3,7.2,3.6,11.9,11.5,12.8,24.5,11.9,13.4
497,55301,MN,45.24,-93.67,2,100801,27,171,0.6,1.1,0.8,8.1,12.1,12.7,16.1,32.2,10.5,5.8
498,55315,MN,44.72,-93.68,1,091100,27,019,2.5,0.3,2.1,3.3,4.6,17.3,15.8,24.3,15.0,14.8
499,55347,MN,44.83,-93.46,2,026018,27,053,0.7,0.7,3.0,1.4,4.3,7.1,9.5,25.8,20.8,26.8
500,55352,MN,44.7,-93.6,1,080800,27,139,3.3,5.5,5.9,6.1,13.4,16.7,18.5,15.5,6.7,8.4
501,55369,MN,45.13,-93.46,1,026708,27,053,1.8,2.7,5.9,9.0,8.8,22.0,10.1,20.8,12.9,6.1
502,55378,MN,44.76,-93.37,2,080202,27,139,2.3,1.5,2.0,4.0,3.9,9.4,6.1,21.7,19.2,29.9
503,55408,MN,44.94,-93.29,1,109200,27,053,2.5,1.4,6.6,10.9,22.6,23.9,14.7,10.0,3.8,3.7
504,55410,MN,44.91,-93.31,1,111300,27,053,2.7,0.8,3.5,4.0,3.3,11.0,12.2,23.1,15.3,24.1
505,55411,MN,45.0,-93.3,1,102100,27,053,11.2,8.2,13.9,10.7,19.2,18.4,10.2,5.7,1.7,0.8
506,55431,MN,44.83,-93.31,1,025702,27,053,2.6,7.7,11.5,6.7,9.2,16.1,12.9,23.2,3.5,6.5
507,55438,MN,44.82,-93.38,1,025906,27,053,2.6,1.6,3.1,5.3,10.7,19.9,17.8,20.8,10.3,7.8
508,55443,MN,45.12,-93.33,2,026823,27,053,0.3,0.0,3.9,6.8,6.7,13.3,14.0,32.5,14.7,7.8
509,56071,MN,44.5,-93.6,1,950100,27,079,1.3,3.4,4.5,5.8,12.4,16.9,15.2,24.0,10.1,6.4
510,57042,SD,44.0,-97.2,1,960100,46,079,3.1,2.6,7.5,11.2,12.7,18.3,16.5,18.7,3.7,5.6
511,57105,SD,43.52,-96.73,1,001500,46,099,4.1,1.3,21.0,15.3,21.9,14.6,15.4,3.7,2.4,0.3
512,57701,SD,44.1,-103.2,3,010400,46,103,22.2,,14.4,16.2,16.1,16.7,1.9,4.9,0.0,0.1
513,57719,SD,44.2,-103.0,1,020500,46,093,3.7,5.1,9.4,8.6,19.5,28.9,11.2,10.3,1.1,2.1
514,59701,MT,46.1,-112.4,1,962202,30,043,3.2,2.8,11.3,12.6,12.2,16.8,18.5,14.2,3.9,4.6
515,59718,MT,45.6,-111.1,1,000502,30,031,4.4,1.1,1.5,5.5,9.8,20.3,11.0,19.7,14.7,12.1
516,59725,MT,45.0,-112.9,1,000100,30,001,3.0,8.0,9.7,14.5,19.3,14.5,16.5,9.7,1.9,2.8
517,59801,MT,46.86,-113.99,1,000500,30,063,17.3,5.3,10.1,10.5,15.3,16.2,5.6,8.5,6.0,5.2
518,59860,MT,47.8,-114.2,1,940303,30,047,8.8,2.7,9.5,23.6,10.0,22.6,11.4,6.5,1.5,3.3
519,59870,MT,46.5,-114.1,2,000201,30,081,5.6,4.5,15.3,13.9,16.1,19.8,9.4,12.4,1.1,1.8
520,59937,MT,48.5,-114.6,2,000100,30,029,10.1,11.7,14.5,12.1,15.2,22.5,4.3,4.3,1.8,3.5
521,60002,IL,42.5,-88.1,2,002906,55,059,2.7,2.0,7.1,4.0,8.4,21.5,15.6,21.9,8.9,7.8
522,60012,IL,42.28,-88.31,1,870803,17,111,0.2,3.2,4.6,3.8,7.4,15.3,15.0,20.0,16.3,14.1
523,60016,IL,42.05,-87.89,1,806102,17,031,5.5,5.0,5.0,7.6,6.8,15.2,13.0,26.2,10.0,5.7
524,60045,IL,42.24,-87.87,1,863500,17,097,3.4,1.4,5.9,3.0,5.3,9.2,12.8,13.7,7.3,38.1
525,60046,IL,42.41,-88.06,4,861013,17,097,1.1,0.9,7.1,6.5,10.7,18.6,16.9,19.8,13.0,5.5
526,60047,IL,42.21,-88.04,1,864402,17,097,0.5,0.6,4.0,2.0,4.9,8.6,5.7,23.4,20.4,30.1
527,60056,IL,42.06,-87.93,1,804901,17,031,2.0,0.8,4.3,7.8,7.4,19.4,15.6,17.2,13.5,12.1
528,60060,IL,42.27,-88.04,1,864105,17,097,0.0,0.6,8.4,0.8,8.7,13.0,14.8,27.3,12.2,14.3
529,60068,IL,42.02,-87.84,1,805501,17,031,3.1,1.1,9.9,5.1,12.7,13.1,9.5,19.4,14.0,
530,60115,IL,41.9,-88.7,1,001600,17,037,1.9,2.4,5.5,5.5,16.0,15.5,18.4,28.8,2.4,3.6
531,60130,IL,41.87,-87.82,1,816100,17,031,6.1,4.8,8.4,13.3,15.2,16.6,9.9,14.9,6.9,3.9
532,60139,IL,41.92,-88.08,1,840911,17,043,3.2,0.0,4.5,12.2,9.7,23.0,18.2,22.0,3.6,3.5
533,60154,IL,41.85,-87.89,1,818402,17,031,0.7,5.3,7.4,5.4,12.2,28.0,13.9,18.6,5.6,3.0
534,60173,IL,42.04,-88.05,1,804603,17,031,3.7,0.5,11.5,7.7,13.1,32.9,10.5,12.2,3.0,4.9
535,60188,IL,41.92,-88.13,1,841210,17,043,6.1,2.2,3.2,7.0,14.1,31.0,19.0,13.0,1.9,2.6
536,60189,IL,41.83,-88.12,2,842601,17,043,0.5,1.2,1.7,2.0,3.7,15.2,7.7,16.1,20.1,31.8
537,60302,IL,41.89,-87.79,4,812400,17,031,2.7,0.7,1.3,1.0,2.6,6.2,7.8,19.3,13.8,44.6
538,60304,IL,41.87,-87.78,1,813100,17,031,7.8,1.8,4.7,6.0,6.5,13.1,17.8,22.1,11.5,8.8
539,60401,IL,41.34,-87.62,1,883902,17,197,2.9,3.6,10.9,4.5,9.8,18.0,25.3,14.6,6.1,4.3
540,60402,IL,41.83,-87.78,1,815500,17,031,7.1,5.9,6.7,6.3,15.2,22.4,12.7,12.8,3.8,7.1
541,60423,IL,41.48,-87.84,1,883504,17,197,1.3,1.7,6.6,7.6,10.0,18.7,11.7,12.3,12.6,17.4
542,60451,IL,41.51,-87.96,1,881115,17,197,3.6,0.0,6.5,5.7,8.9,15.5,9.9,23.3,17.2,9.5
543,60513,IL,41.83,-87.85,4,818800,17,031,2.2,2.6,7.0,10.5,5.6,17.5,19.8,21.0,10.0,3.7
544,60515,IL,41.81,-88.03,1,844802,17,043,4.5,0.5,9.1,8.6,8.2,13.9,10.8,18.4,7.9,18.1
545,60534,IL,41.81,-87.82,1,819200,17,031,7.6,3.5,9.5,13.7,12.9,26.6,11.9,10.5,2.0,1.8
546,60542,IL,41.8,-88.35,1,853001,17,089,3.8,3.7,5.8,4.4,19.8,19.3,15.5,21.9,5.8,0.0
547,60565,IL,41.72,-88.11,1,880118,17,197,2.0,0.6,2.0,0.4,4.9,7.5,9.8,19.1,23.7,30.0
548,60605,IL,41.87,-87.62,1,320600,17,031,7.2,6.0,0.7,2.3,3.3,12.5,16.8,24.8,8.2,18.2
549,60608,IL,41.85,-87.68,1,841300,17,031,10.9,3.5,10.9,9.0,16.5,21.6,8.4,16.9,0.2,2.2
550,60613,IL,41.95,-87.65,2,061000,17,031,4.6,1.7,2.6,3.1,7.0,10.0,13.4,21.6,18.1,17.9
551,60615,IL,41.81,-87.6,1,390200,17,031,5.4,10.9,7.8,14.1,6.9,4.7,7.6,20.6,11.0,11.0
552,60630,IL,41.97,-87.76,1,110502,17,031,4.8,2.7,6.9,12.1,15.8,24.2,10.1,17.1,3.2,3.0
553,60634,IL,41.95,-87.81,1,170400,17,031,5.2,6.1,9.1,11.6,10.7,18.4,22.1,10.2,4.6,1.9
554,60640,IL,41.97,-87.66,1,031100,17,031,8.0,3.3,8.0,8.9,9.7,15.9,11.0,22.8,4.8,7.6
555,60654,IL,41.89,-87.64,1,842300,17,031,2.3,0.7,3.5,3.3,5.3,15.4,11.3,18.8,12.7,26.9
556,61008,IL,42.2,-88.8,4,010400,17,007,2.8,2.2,5.2,9.9,13.5,22.9,21.4,16.4,3.1,2.5
557,61073,IL,42.42,-88.99,1,003904,17,201,3.8,4.5,6.4,9.0,16.6,21.8,18.5,10.9,5.1,3.3
558,61550,IL,40.61,-89.43,1,021606,17,179,0.9,0.7,7.2,4.0,11.1,14.4,18.5,19.0,10.4,13.7
559,61701,IL,40.47,-88.99,1,005900,17,113,14.7,9.5,13.6,7.8,12.6,20.7,8.7,9.3,1.8,1.3
560,62269,IL,38.6,-89.91,4,504351,17,163,1.3,4.8,5.2,7.7,12.2,12.2,12.4,22.7,11.3,10.2
561,62281,IL,38.71,-89.79,1,403702,17,119,2.2,0.8,2.9,4.8,11.6,15.7,21.2,27.5,7.9,5.3
562,62711,IL,39.76,-89.72,1,003604,17,167,2.4,2.0,6.1,9.0,7.9,17.9,7.0,22.5,14.8,10.5
563,63017,MO,38.67,-90.53,2,215231,29,189,2.7,1.0,6.8,5.3,5.6,18.9,14.4,17.5,13.3,14.5
564,63021,MO,38.56,-90.53,3,217932,29,189,1.6,1.3,3.6,5.5,8.3,18.5,16.1,23.2,11.5,10.4
565,63026,MO,38.5,-90.46,1,700210,29,099,4.3,7.4,13.9,12.5,16.0,18.9,15.6,8.6,1.6,1.1
566,63073,MO,38.5,-90.7,1,221503,29,189,0.0,1.9,1.6,10.3,8.4,13.8,9.1,22.2,17.3,15.3
567,63110,MO,38.63,-90.27,1,112100,29,510,11.5,2.9,2.9,9.8,18.2,14.0,10.8,9.3,6.1,14.5
568,63116,MO,38.58,-90.27,1,115100,29,510,20.0,6.2,13.7,15.2,13.7,12.6,6.6,10.2,1.0,1.0
569,63119,MO,38.59,-90.32,1,219600,29,189,6.7,6.1,11.6,6.4,11.1,21.6,15.6,12.2,4.0,4.5
570,63124,MO,38.64,-90.38,1,217500,29,189,2.9,0.3,3.3,2.0,3.8,10.3,7.8,15.2,11.6,42.8
571,63129,MO,38.45,-90.33,2,220444,29,189,1.4,1.4,5.9,8.8,7.6,15.9,12.2,21.9,17.1,7.9
572,63130,MO,38.67,-90.32,1,215900,29,189,3.1,9.9,9.4,10.6,16.8,23.1,9.3,10.3,4.9,2.6
573,63303,MO,38.75,-90.54,2,311146,29,183,0.4,2.1,4.2,6.8,11.6,12.6,15.2,22.8,14.3,10.0
574,63366,MO,38.9,-90.7,2,311500,29,183,9.1,4.5,14.8,13.8,18.5,20.8,10.5,3.6,4.4,0.0
575,63368,MO,38.75,-90.73,2,311154,29,183,1.7,0.8,3.5,6.7,5.2,6.4,11.7,25.9,17.8,20.5
576,64014,MO,39.01,-94.25,1,014105,29,095,0.5,1.0,5.7,6.3,12.7,29.5,22.6,18.7,1.8,1.2
577,64048,MO,39.44,-94.35,1,021804,29,047,0.1,0.3,3.9,2.6,9.1,19.6,17.4,31.3,8.6,7.2
578,64111,MO,39.06,-94.59,6,016700,29,095,9.4,5.5,20.0,9.4,25.1,19.4,2.8,5.5,1.6,1.2
579,64113,MO,39.01,-94.59,4,008600,29,095,6.5,2.0,2.1,11.1,6.5,11.4,14.9,23.9,10.6,11.1
580,64114,MO,38.96,-94.6,1,009900,29,095,1.8,8.8,6.4,15.9,19.9,18.4,9.7,9.5,7.0,2.6
581,64137,MO,38.94,-94.54,1,010201,29,095,21.1,6.7,20.1,10.3,18.1,11.5,7.8,3.9,0.6,0.0
