,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With private health insurance,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With public coverage
77,80210,CO,39.68,-104.96,5,003003,08,031,92.7,85.7,10.5
78,80211,CO,39.76,-105.02,7,000402,08,031,96.5,81.0,24.3
79,80214,CO,39.74,-105.07,5,011550,08,059,72.7,43.7,
80,80215,CO,39.74,-105.11,2,010902,08,059,86.6,51.1,42.8
81,80216,CO,39.79,-104.95,1,003500,08,031,77.8,34.9,48.7
82,80218,CO,39.73,-104.97,3,003201,08,031,94.2,81.5,21.7
83,80219,CO,39.71,-105.03,1,004505,08,031,66.4,22.7,51.0
84,80220,CO,39.73,-104.91,2,004304,08,031,92.2,82.5,19.2
85,80221,CO,39.82,-105.01,3,009502,08,001,88.9,53.7,42.9
86,80222,CO,39.67,-104.93,1,015100,08,005,94.7,84.1,24.8
87,80226,CO,39.71,-105.09,3,011701,08,059,92.7,75.8,31.6
88,80228,CO,39.69,-105.15,11,011712,08,059,94.6,80.2,27.4
89,80230,CO,39.72,-104.89,1,004405,08,031,96.2,81.4,25.9
90,80231,CO,39.67,-104.89,3,087300,08,005,79.9,56.5,27.2
91,80234,CO,39.91,-105.01,3,009325,08,001,89.2,72.5,27.6
92,80235,CO,39.65,-105.09,1,015900,08,059,93.0,76.7,24.1
93,80237,CO,39.64,-104.91,4,006809,08,031,95.4,82.9,24.0
94,80241,CO,39.93,-104.96,3,008545,08,001,95.2,87.1,16.7
95,80246,CO,39.7,-104.93,1,004951,08,005,78.8,68.3,13.5
96,80249,CO,39.84,-104.7,2,980000,08,031,96.5,74.9,29.1
97,80301,CO,40.05,-105.21,6,012707,08,013,90.7,66.3,35.6
98,80303,CO,39.97,-105.22,2,060600,08,013,95.7,81.3,18.5
99,80304,CO,40.05,-105.29,3,012104,08,013,96.5,79.4,29.4
100,80305,CO,39.98,-105.26,1,012509,08,013,99.0,85.5,27.9
101,80403,CO,39.8,-105.3,5,009808,08,059,95.6,85.0,20.1
102,80420,CO,39.285,-106.065,1,000300,08,093,80.7,58.7,26.3
103,80424,CO,39.5,-106.1,3,000401,08,117,79.6,68.9,15.6
104,80427,CO,39.796,-105.509,1,013800,08,047,90.6,73.7,27.6
105,80433,CO,39.5,-105.3,12,012058,08,059,93.0,76.1,27.6
106,80435,CO,39.5,-105.9,9,000402,08,117,61.3,56.7,12.0
107,80439,CO,39.7,-105.4,11,014700,08,019,91.6,83.4,20.2
108,80440,CO,39.1,-105.9,1,000400,08,093,91.8,72.6,35.9
109,80443,CO,39.59,-106.09,1,000300,08,117,86.8,71.8,25.1
110,80447,CO,40.3,-106.0,2,000201,08,049,86.0,68.8,26.1
111,80454,CO,39.617,-105.244,3,012027,08,059,96.5,86.9,23.6
112,80457,CO,39.65,-105.3,1,012026,08,059,91.7,76.4,24.8
113,80461,CO,39.2,-106.4,2,961900,08,065,74.0,42.0,36.9
114,80465,CO,39.6,-105.2,3,012034,08,059,,89.6,20.5
115,80498,CO,39.8,-106.2,2,000100,08,117,86.7,73.1,23.7
116,80501,CO,40.17,-105.09,2,013401,08,013,79.7,46.5,40.4
117,80503,CO,40.2,-105.2,3,013601,08,013,95.6,85.5,20.9
118,80504,CO,40.2,-105.0,2,002103,08,123,96.3,86.0,
