,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans
310,33311,FL,26.13,-80.16,1,041500,12,011,5.7
311,33328,FL,26.07,-80.27,1,070209,12,011,5.8
312,33332,FL,26.04,-80.47,1,980000,12,011,-666666666.0
313,33405,FL,26.68,-80.06,1,003300,12,099,2.7
314,33527,FL,27.97,-82.22,1,012402,12,057,8.1
315,33538,FL,28.8,-82.2,1,451000,12,017,19.8
316,33556,FL,28.2,-82.6,2,031701,12,101,12.5
317,33702,FL,27.85,-82.63,4,024411,12,103,10.8
318,33921,FL,26.83,-82.28,1,030402,12,015,13.9
319,33922,FL,26.66,-82.14,1,070101,12,071,16.0
320,34102,FL,26.13,-81.8,1,000101,12,021,16.9
321,34110,FL,26.3,-81.79,1,010102,12,021,11.4
322,34134,FL,26.36,-81.85,1,060300,12,071,22.0
323,34223,FL,26.98,-82.37,1,002603,12,115,16.9
324,34436,FL,28.7,-82.3,2,451300,12,017,
325,34470,FL,29.2,-82.09,2,002002,12,083,7.1
326,34480,FL,29.1,-82.1,1,002402,12,083,9.2
327,34639,FL,28.3,-82.4,1,032001,12,101,12.1
328,34655,FL,28.23,-82.63,1,031707,12,101,16.2
329,34711,FL,28.5,-81.8,1,031311,12,069,6.6
330,34747,FL,28.32,-81.59,1,040802,12,097,5.9
331,34758,FL,28.2,-81.5,1,041100,12,097,6.0
332,34786,FL,28.48,-81.56,1,017105,12,095,3.9
333,34787,FL,28.5,-81.6,2,017105,12,095,3.9
334,34949,FL,27.5,-80.31,2,381204,12,111,14.8
335,34996,FL,27.2,-80.19,1,000502,12,085,10.2
336,34997,FL,27.1,-80.3,1,001700,12,085,10.6
337,36527,AL,30.7,-87.9,1,010701,01,003,12.3
338,36532,AL,30.5,-87.9,1,011202,01,003,9.8
339,36559,AL,30.572,-87.897,2,010800,01,003,7.3
340,37069,TN,35.99,-86.91,2,050406,47,187,5.3
341,37087,TN,36.3,-86.3,1,030101,47,189,10.1
342,37122,TN,36.2,-86.5,4,030309,47,189,6.2
343,37203,TN,36.15,-86.79,1,016300,47,037,5.9
