,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!RACE!!Total population!!One race!!White,Percent Estimate!!RACE!!Total population!!One race!!Black or African American,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!Asian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Korean,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander
56,80111,CO,39.63,-104.87,2,006854,08,005,73.6,5.9,,0.0,0.0,0.0,0.0,12.4,5.9,2.2,0.0,0.4,2.5,0.6,0.8,0.0,0.0,0.0,0.0,0.0
57,80112,CO,39.56,-104.87,1,014001,08,035,88.1,1.7,1.0,0.0,0.0,0.0,0.0,3.2,0.9,1.0,0.3,0.2,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.0
58,80118,CO,39.2,-104.9,2,014403,08,035,95.3,1.2,0.0,0.0,,0.0,0.0,1.8,0.0,0.3,0.1,0.1,0.7,,0.7,0.0,0.0,0.0,0.0,0.0
59,80120,CO,39.6,-105.01,7,006502,08,005,93.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0
60,80121,CO,39.61,-104.96,2,005636,08,005,94.4,1.3,0.0,0.0,0.0,0.0,0.0,2.3,0.2,1.1,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
61,80122,CO,39.58,-104.96,9,005630,08,005,92.0,2.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
62,80123,CO,39.61,-105.06,7,012050,08,059,83.8,1.1,0.1,0.0,0.0,0.0,0.1,8.5,0.0,2.4,0.0,0.3,0.5,4.3,1.1,0.0,0.0,0.0,0.0,0.0
63,80124,CO,39.54,-104.88,7,014116,08,035,72.0,1.7,0.0,0.0,0.0,0.0,0.0,14.6,8.6,0.2,0.6,0.2,0.6,3.7,0.6,0.0,0.0,0.0,0.0,0.0
64,80125,CA,39.5,-105.1,1,012036,08,059,94.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,1.5,0.0,0.2,1.9,0.3,0.0,0.0,0.0,0.0,0.0
65,80125,CO,39.5,-105.1,4,012036,08,059,94.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,1.5,0.0,0.2,1.9,0.3,0.0,0.0,0.0,0.0,0.0
66,80127,CO,39.5,-105.1,8,012036,08,059,94.2,0.0,0.0,0.0,,0.0,0.0,3.8,0.0,0.0,1.5,0.0,0.2,1.9,0.3,0.0,0.0,,0.0,0.0
67,80128,CA,39.57,-105.08,1,012055,08,059,94.3,0.9,0.0,0.0,0.0,0.0,0.0,2.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,80128,CO,39.57,-105.08,9,012055,08,059,94.3,0.9,0.0,0.0,0.0,0.0,0.0,2.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,80129,CO,39.54,-105.01,1,014128,08,035,88.0,0.2,0.5,0.0,0.0,0.0,0.0,4.5,2.1,0.2,0.1,0.2,0.5,0.9,0.4,0.0,0.0,0.0,0.0,0.0
70,80130,CO,39.53,-104.91,2,014140,08,035,86.7,1.9,0.0,0.0,0.0,0.0,0.0,6.0,2.2,2.2,0.6,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
71,80132,CO,39.1,-104.9,16,003701,08,041,88.8,0.8,2.0,0.0,0.0,0.0,0.0,0.6,0.0,0.1,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,80133,CO,39.11,-104.9,2,003701,08,041,88.8,0.8,2.0,0.0,0.0,,0.0,0.6,0.0,0.1,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,80134,CO,39.5,-104.8,13,014006,08,035,84.5,3.4,0.0,0.0,0.0,0.0,0.0,6.7,3.0,1.3,0.5,0.2,1.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0
74,80135,CO,39.3,-105.2,2,014300,08,035,96.1,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,80138,CO,39.5,-104.7,2,013911,08,035,93.4,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,80202,CO,39.75,-105.0,1,001701,08,031,90.5,1.2,0.2,0.0,0.0,0.0,0.0,6.0,0.6,3.9,0.3,0.0,1.1,0.2,0.0,0.0,0.0,,0.0,0.0
77,80203,CO,39.73,-104.98,2,002702,08,031,87.5,1.7,0.3,0.0,0.0,0.0,0.0,4.8,0.4,2.0,0.3,0.6,0.9,0.4,0.3,0.0,0.0,0.0,0.0,0.0
78,80204,CO,39.74,-105.02,1,000800,08,031,49.4,,2.4,0.0,0.0,0.0,2.4,6.6,0.0,0.0,0.0,0.0,0.0,5.5,1.1,0.0,0.0,0.0,0.0,0.0
79,80207,CO,39.76,-104.92,6,004104,08,031,51.4,29.7,1.9,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.2,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
