,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car truck or van drove alone,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car truck or van carpooled,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home
61,80124,CO,39.54,-104.88,7,014116,08,035,69.1,5.7,9.7,7.1,0.3,8.1
62,80125,CA,39.5,-105.1,1,012036,08,059,72.8,10.0,2.3,0.0,0.9,14.1
63,80125,CO,39.5,-105.1,4,012036,08,059,72.8,10.0,2.3,0.0,0.9,14.1
64,80126,CO,39.53,-104.95,13,014132,08,035,76.1,3.7,3.6,0.5,1.0,15.1
65,80127,CO,39.5,-105.1,8,012036,08,059,72.8,10.0,2.3,0.0,0.9,14.1
66,80128,CO,39.57,-105.08,9,012055,08,059,83.7,3.9,1.6,1.7,0.7,8.4
67,80129,CO,39.54,-105.01,1,014128,08,035,76.5,4.2,,1.4,2.5,9.1
68,80130,CO,39.53,-104.91,2,014140,08,035,80.6,,1.5,0.8,0.2,15.7
69,80132,CO,39.1,-104.9,16,003701,08,041,71.4,11.3,0.4,2.3,2.9,11.8
70,80133,CO,39.11,-104.9,2,003701,08,041,71.4,11.3,0.4,2.3,2.9,11.8
71,80134,CO,39.5,-104.8,13,014006,08,035,75.6,5.5,0.8,0.4,2.6,
72,80135,CO,39.3,-105.2,2,014300,08,035,80.4,3.1,0.0,,4.0,9.9
