,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car truck or van drove alone,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car truck or van carpooled,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home
311,33556,FL,28.2,-82.6,2,031701,12,101,78.9,5.3,0.0,1.0,1.5,13.2
312,33702,FL,27.85,-82.63,4,024411,12,103,80.8,9.1,0.0,1.5,1.3,7.3
313,33921,FL,26.83,-82.28,1,030402,12,015,80.4,1.4,0.0,0.0,2.7,15.5
314,33922,FL,26.66,-82.14,1,070101,12,071,66.2,15.7,0.0,3.3,9.6,5.3
315,34102,FL,26.13,-81.8,1,000101,12,021,68.1,0.0,4.0,4.8,6.0,17.1
316,34110,FL,26.3,-81.79,1,010102,12,021,82.2,4.0,1.0,0.7,2.3,9.8
317,34134,FL,26.36,-81.85,1,060300,12,071,73.3,3.9,0.0,0.0,0.0,22.9
318,34223,FL,26.98,-82.37,1,002603,12,115,75.0,14.7,0.0,0.9,0.0,9.4
319,34436,FL,28.7,-82.3,2,451300,12,017,77.7,10.1,0.0,0.0,0.9,11.4
320,34470,FL,29.2,-82.09,2,002002,12,083,84.6,9.5,2.3,2.7,0.3,0.5
321,34480,FL,29.1,-82.1,1,002402,12,083,86.2,8.6,0.0,1.7,0.8,2.7
322,34639,FL,28.3,-82.4,1,032001,12,101,83.1,8.5,0.0,1.4,0.5,6.5
323,34655,FL,28.23,-82.63,1,031707,12,101,83.5,8.1,0.0,0.0,0.0,8.4
324,34711,FL,28.5,-81.8,1,031311,12,069,82.6,12.7,0.3,0.6,0.8,3.1
325,34747,FL,28.32,-81.59,1,040802,12,097,84.1,9.2,0.5,0.2,1.2,4.8
326,34758,FL,28.2,-81.5,1,041100,12,097,89.3,7.7,0.3,0.9,1.4,0.4
327,34786,FL,28.48,-81.56,1,017105,12,095,85.0,4.1,0.0,0.7,0.7,9.4
328,34787,FL,28.5,-81.6,2,017105,12,095,85.0,4.1,0.0,0.7,0.7,9.4
329,34949,FL,27.5,-80.31,2,381204,12,111,77.5,6.5,1.2,4.0,4.4,6.5
330,34996,FL,27.2,-80.19,1,000502,12,085,77.1,8.3,0.0,0.0,0.9,13.7
331,34997,FL,27.1,-80.3,1,001700,12,085,77.7,4.4,0.0,0.0,3.0,14.9
332,36527,AL,30.7,-87.9,1,010701,01,003,91.8,2.8,0.0,0.9,0.4,4.1
333,36532,AL,30.5,-87.9,1,011202,01,003,81.5,2.5,0.6,1.7,2.3,11.4
334,36559,AL,30.572,-87.897,2,010800,01,003,88.6,5.2,1.5,0.1,0.0,4.6
335,37069,TN,35.99,-86.91,2,050406,47,187,75.6,5.6,0.3,1.4,0.7,16.5
336,37087,TN,36.3,-86.3,1,030101,47,189,86.9,9.3,0.5,0.3,0.0,3.0
337,37122,TN,36.2,-86.5,4,030309,47,189,69.8,15.1,2.1,2.6,0.7,9.7
338,37203,TN,36.15,-86.79,1,016300,47,037,63.6,8.7,3.2,13.3,5.4,5.9
339,37205,TN,36.11,-86.87,1,018203,47,037,81.2,10.5,0.0,0.0,0.0,8.4
