,_1,_2,_3,_4,_5,_6,_7,_8
373,49406,MI,42.64,-86.2,1,030800,26,005
374,49412,MI,43.5,-85.9,1,970600,26,123
375,49418,MI,42.88,-85.78,1,013100,26,081
376,49426,MI,42.8,-85.9,1,023002,26,139
377,49506,MI,42.94,-85.62,1,003400,26,081
378,49507,MI,42.93,-85.65,1,003700,26,081
379,49668,MI,44.4,-85.7,1,380300,26,165
380,50135,IA,41.7,-92.9,1,040100,19,099
381,50219,IA,41.4,-92.9,1,030200,19,125
382,50263,IA,41.6,-93.9,5,050902,19,049
383,50266,IA,41.56,-93.81,1,050811,19,049
384,50627,IA,42.3,-93.1,1,480500,19,083
385,50651,IA,42.3,-92.2,2,002902,19,013
386,51334,IA,43.4,-94.8,4,070300,19,063
387,51534,IA,41.0,-95.7,1,040201,19,129
388,52241,IA,41.69,-91.59,1,000302,19,103
389,52314,IA,41.9,-91.5,1,010700,19,113
390,52803,IA,41.54,-90.56,1,011600,19,163
391,53005,WI,43.06,-88.1,1,201000,55,133
392,53072,WI,43.1,-88.3,2,203303,55,133
393,53097,WI,43.24,-87.98,1,660100,55,089
394,53149,WI,42.9,-88.3,4,202001,55,133
395,53150,WI,42.88,-88.13,1,201900,55,133
396,53154,WI,42.89,-87.89,4,160203,55,079
397,53202,WI,43.04,-87.89,1,980000,55,079
398,53211,WI,43.07,-87.89,2,007800,55,079
399,53593,WI,43.0,-89.6,1,010904,55,025
400,53719,WI,43.03,-89.5,1,000504,55,025
401,53901,WI,43.5,-89.5,1,970600,55,021
402,53916,WI,43.5,-88.9,2,960600,55,027
403,54313,WI,44.6,-88.1,1,020204,55,009
404,54401,WI,45.0,-89.7,1,001500,55,073
405,54452,WI,45.2,-89.7,1,960700,55,069
406,54455,WI,44.8,-89.7,1,001202,55,073
407,54467,WI,44.4,-89.5,1,961300,55,097
408,54665,WI,43.5,-90.9,1,960500,55,123
409,54666,WI,44.2,-90.4,1,960100,55,053
410,54901,WI,44.07,-88.52,4,001600,55,139
411,55014,MN,45.19,-93.13,4,050229,27,003
412,55057,MN,44.5,-93.2,1,061502,27,037
413,55082,MN,45.1,-92.8,1,070404,27,163
414,55106,MN,44.94,-93.05,1,980000,27,123
415,55108,MN,44.98,-93.18,4,042001,27,123
416,55113,MN,45.01,-93.16,2,041800,27,123
417,55116,MN,44.91,-93.17,1,037500,27,123
418,55123,MN,44.8,-93.14,1,060732,27,037
419,55301,MN,45.24,-93.67,2,100801,27,171
420,55347,MN,44.83,-93.46,2,026018,27,053
421,55352,MN,44.7,-93.6,1,080800,27,139
422,55369,MN,45.13,-93.46,1,026708,27,053
423,55378,MN,44.76,-93.37,2,080202,27,139
424,55408,MN,44.94,-93.29,1,109200,27,053
425,55411,MN,45.0,-93.3,1,102100,27,053
426,55443,MN,45.12,-93.33,2,026823,27,053
427,56071,MN,44.5,-93.6,1,950100,27,079
428,57042,SD,44.0,-97.2,1,960100,46,079
429,57105,SD,43.52,-96.73,1,001500,46,099
430,57701,SD,44.1,-103.2,3,010400,46,103
431,57719,SD,44.2,-103.0,1,020500,46,093
432,59701,MT,46.1,-112.4,1,962202,30,043
433,59718,MT,45.6,-111.1,1,000502,30,031
434,59725,MT,45.0,-112.9,1,000100,30,001
435,59860,MT,47.8,-114.2,1,940303,30,047
436,59870,MT,46.5,-114.1,2,000201,30,081
437,59937,MT,48.5,-114.6,2,000100,30,029
438,60002,IL,42.5,-88.1,2,002906,55,059
439,60012,IL,42.28,-88.31,1,870803,17,111
440,60016,IL,42.05,-87.89,1,806102,17,031
441,60045,IL,42.24,-87.87,1,863500,17,097
442,60046,IL,42.41,-88.06,4,861013,17,097
443,60047,IL,42.21,-88.04,1,864402,17,097
444,60056,IL,42.06,-87.93,1,804901,17,031
445,60060,IL,42.27,-88.04,1,864105,17,097
446,60068,IL,42.02,-87.84,1,805501,17,031
447,60115,IL,41.9,-88.7,1,001600,17,037
448,60130,IL,41.87,-87.82,1,816100,17,031
449,60139,IL,41.92,-88.08,1,840911,17,043
450,60154,IL,41.85,-87.89,1,818402,17,031
451,60173,IL,42.04,-88.05,1,804603,17,031
452,60188,IL,41.92,-88.13,1,841210,17,043
453,60189,IL,41.83,-88.12,2,842601,17,043
454,60302,IL,41.89,-87.79,4,812400,17,031
455,60304,IL,41.87,-87.78,1,813100,17,031
456,60401,IL,41.34,-87.62,1,883902,17,197
457,60402,IL,41.83,-87.78,1,815500,17,031
458,60423,IL,41.48,-87.84,1,883504,17,197
459,60451,IL,41.51,-87.96,1,881115,17,197
460,60513,IL,41.83,-87.85,4,818800,17,031
461,60515,IL,41.81,-88.03,1,844802,17,043
462,60527,IL,41.74,-87.95,3,845811,17,043
463,60534,IL,41.81,-87.82,1,819200,17,031
464,60542,IL,41.8,-88.35,1,853001,17,089
465,60565,IL,41.72,-88.11,1,880118,17,197
466,60605,IL,41.87,-87.62,1,320600,17,031
467,60608,IL,41.85,-87.68,1,841300,17,031
468,60613,IL,41.95,-87.65,2,061000,17,031
469,60630,IL,41.97,-87.76,1,110502,17,031
470,61008,IL,42.2,-88.8,4,010400,17,007
471,61073,IL,42.42,-88.99,1,003904,17,201
472,61550,IL,40.61,-89.43,1,021606,17,179
473,61701,IL,40.47,-88.99,1,005900,17,113
474,62269,IL,38.6,-89.91,4,504351,17,163
475,62281,IL,38.71,-89.79,1,403702,17,119
476,63021,MO,38.56,-90.53,3,217932,29,189
477,63026,MO,38.5,-90.46,1,700210,29,099
478,63073,MO,38.5,-90.7,1,221503,29,189
479,63110,MO,38.63,-90.27,1,112100,29,510
480,63116,MO,38.58,-90.27,1,115100,29,510
481,63119,MO,38.59,-90.32,1,219600,29,189
482,63124,MO,38.64,-90.38,1,217500,29,189
483,63129,MO,38.45,-90.33,2,220444,29,189
484,63130,MO,38.67,-90.32,1,215900,29,189
485,63366,MO,38.9,-90.7,2,311500,29,183
486,63368,MO,38.75,-90.73,2,311154,29,183
487,64014,MO,39.01,-94.25,1,014105,29,095
488,64048,MO,39.44,-94.35,1,021804,29,047
